1,"Armed Forces Americas","AA","US"
2,"Armed Forces Europe- Middle East- & Canada","AE","US"
3,"Alaska","AK","US"
4,"Alabama","AL","US"
5,"Armed Forces Pacific","AP","US"
6,"Arkansas","AR","US"
7,"American Samoa","AS","US"
8,"Arizona","AZ","US"
9,"California","CA","US"
10,"Colorado","CO","US"
11,"Connecticut","CT","US"
12,"District of Columbia","DC","US"
13,"Delaware","DE","US"
14,"Florida","FL","US"
15,"Federated States of Micronesia","FM","US"
16,"Georgia","GA","US"
17,"Guam","GU","US"
18,"Hawaii","HI","US"
19,"Iowa","IA","US"
20,"Idaho","ID","US"
21,"Illinois","IL","US"
22,"Indiana","IN","US"
23,"Kansas","KS","US"
24,"Kentucky","KY","US"
25,"Louisiana","LA","US"
26,"Massachusetts","MA","US"
27,"Maryland","MD","US"
28,"Maine","ME","US"
29,"Marshall Islands","MH","US"
30,"Michigan","MI","US"
31,"Minnesota","MN","US"
32,"Missouri","MO","US"
33,"Northern Mariana Islands","MP","US"
34,"Mississippi","MS","US"
35,"Montana","MT","US"
36,"North Carolina","NC","US"
37,"North Dakota","ND","US"
38,"Nebraska","NE","US"
39,"New Hampshire","NH","US"
40,"New Jersey","NJ","US"
41,"New Mexico","NM","US"
42,"Nevada","NV","US"
43,"New York","NY","US"
44,"Ohio","OH","US"
45,"Oklahoma","OK","US"
46,"Oregon","OR","US"
47,"Pennsylvania","PA","US"
48,"Puerto Rico","PR","US"
49,"Palau","PW","US"
50,"Rhode Island","RI","US"
51,"South Carolina","SC","US"
52,"South Dakota","SD","US"
53,"Tennessee","TN","US"
54,"Texas","TX","US"
55,"Utah","UT","US"
56,"Virginia","VA","US"
57,"Virgin Islands","VI","US"
58,"Vermont","VT","US"
59,"Washington","WA","US"
60,"West Virginia","WV","US"
61,"Wisconsin","WI","US"
62,"Wyoming","WY","US"
63,"Canillo","02","AD"
64,"Encamp","03","AD"
65,"La Massana","04","AD"
66,"Ordino","05","AD"
67,"Sant Julia de Loria","06","AD"
68,"Andorra la Vella","07","AD"
69,"Escaldes-Engordany","08","AD"
70,"Abu Dhabi","01","AE"
71,"Ajman","02","AE"
72,"Dubai","03","AE"
73,"Fujairah","04","AE"
74,"Ras Al Khaimah","05","AE"
75,"Sharjah","06","AE"
76,"Umm Al Quwain","07","AE"
77,"Badakhshan","01","AF"
78,"Badghis","02","AF"
79,"Baghlan","03","AF"
80,"Bamian","05","AF"
81,"Farah","06","AF"
82,"Faryab","07","AF"
83,"Ghazni","08","AF"
84,"Ghowr","09","AF"
85,"Helmand","10","AF"
86,"Herat","11","AF"
87,"Kabol","13","AF"
88,"Kapisa","14","AF"
89,"Konar","15","AF"
90,"Laghman","16","AF"
91,"Lowgar","17","AF"
92,"Nangarhar","18","AF"
93,"Nimruz","19","AF"
94,"Paktia","21","AF"
95,"Parvan","22","AF"
96,"Kandahar","23","AF"
97,"Kondoz","24","AF"
98,"Takhar","26","AF"
99,"Vardak","27","AF"
100,"Zabol","28","AF"
101,"Paktika","29","AF"
102,"Balkh","30","AF"
103,"Jowzjan","31","AF"
104,"Samangan","32","AF"
105,"Sar-e Pol","33","AF"
106,"Konar","34","AF"
107,"Laghman","35","AF"
108,"Paktia","36","AF"
109,"Khowst","37","AF"
110,"Nurestan","38","AF"
111,"Oruzgan","39","AF"
112,"Parvan","40","AF"
113,"Daykondi","41","AF"
114,"Panjshir","42","AF"
115,"Barbuda","01","AG"
116,"Saint George","03","AG"
117,"Saint John","04","AG"
118,"Saint Mary","05","AG"
119,"Saint Paul","06","AG"
120,"Saint Peter","07","AG"
121,"Saint Philip","08","AG"
122,"Berat","40","AL"
123,"Diber","41","AL"
124,"Durres","42","AL"
125,"Elbasan","43","AL"
126,"Fier","44","AL"
127,"Gjirokaster","45","AL"
128,"Korce","46","AL"
129,"Kukes","47","AL"
130,"Lezhe","48","AL"
131,"Shkoder","49","AL"
132,"Tirane","50","AL"
133,"Vlore","51","AL"
134,"Aragatsotn","01","AM"
135,"Ararat","02","AM"
136,"Armavir","03","AM"
137,"Geghark'unik'","04","AM"
138,"Kotayk'","05","AM"
139,"Lorri","06","AM"
140,"Shirak","07","AM"
141,"Syunik'","08","AM"
142,"Tavush","09","AM"
143,"Vayots' Dzor","10","AM"
144,"Yerevan","11","AM"
145,"Benguela","01","AO"
146,"Bie","02","AO"
147,"Cabinda","03","AO"
148,"Cuando Cubango","04","AO"
149,"Cuanza Norte","05","AO"
150,"Cuanza Sul","06","AO"
151,"Cunene","07","AO"
152,"Huambo","08","AO"
153,"Huila","09","AO"
154,"Luanda","10","AO"
155,"Malanje","12","AO"
156,"Namibe","13","AO"
157,"Moxico","14","AO"
158,"Uige","15","AO"
159,"Zaire","16","AO"
160,"Lunda Norte","17","AO"
161,"Lunda Sul","18","AO"
162,"Bengo","19","AO"
163,"Luanda","20","AO"
164,"Buenos Aires","01","AR"
165,"Catamarca","02","AR"
166,"Chaco","03","AR"
167,"Chubut","04","AR"
168,"Cordoba","05","AR"
169,"Corrientes","06","AR"
170,"Distrito Federal","07","AR"
171,"Entre Rios","08","AR"
172,"Formosa","09","AR"
173,"Jujuy","10","AR"
174,"La Pampa","11","AR"
175,"La Rioja","12","AR"
176,"Mendoza","13","AR"
177,"Misiones","14","AR"
178,"Neuquen","15","AR"
179,"Rio Negro","16","AR"
180,"Salta","17","AR"
181,"San Juan","18","AR"
182,"San Luis","19","AR"
183,"Santa Cruz","20","AR"
184,"Santa Fe","21","AR"
185,"Santiago del Estero","22","AR"
186,"Tierra del Fuego","23","AR"
